4710085236749	KAVALAN NO:2	4250	3027,02
4820229034633	PERVAK WHEAT 35CL	450	363,505
4820229034640	PERVAK WHEAT 50CL	615	471,85
4820229034664	PERVAK WHEAT 70CL	825	556,995
4820229034671	PERVAK WHEAT 100CL	1125	736,621
4820229034695	PERVAK RYE 35CL	450	373,602
4820229034701	PERVAK RYE 50CL	615	493,01
4820229034718	PERVAK RYE 70CL	825	568,537
4820229034725	PERVAK RYE 1LT	1125	796,53
4840013011985	AMORE BEYAZ	320	0
4840013012005	AMORE MERLOT	350	198,72
4840013012012	AMORE KÖPÜKLÜ	600	188
4840267007574	RADACINI PINOT GRIGIO	450	230,514
4840267007628	RADACINI PINOT NOIR	550	374,416
4840267008090	RADACINI PINOT GRIGIO BLUSH	450	232,022
4840267008311	RADACINI CABERNET MERLOT	550	374,416
4840472020900	WINE CRIME	495	145
4840526013278	LA VIE CABERNET SAUVIGNON	350	150
4840526013285	LA VIE SAV.BLANC	350	150
4840526013292	LA VIE MERLOT ROSE	350	150
4841676004147	BULGARI CHARDONAY	750	0
4842060000219	IMPRESARIO PINOT NOIR	300	178,5
4842060000271	IMPRESARIO CAB. SAU	300	178,5
4842060000417	COLIER SAMPANYA	425	0
4842494000465	WINE CRIME GOLD EDITION	1000	675,23
4901777275652	HIBIKI JAPANESE HARMONY	8250	5560,75
4901777305359	ROKU GIN	2195	1046,73
4901903064105	TOGOUCHI PREMIUM	3600	2476,8
4904230042242	NIKKA MIYAGIKYO	3900	3090,91
4904230054160	NIKKA DAYS	2250	1772,72
4904230064374	NIKKA TAKETSURU	3350	2636,36
4904230100683	NIKKA FROM THE BARREL	2450	1954,55
4969265703308	AKASHI BLENDED	2500	1860
5000213014905	GUINNESS	145	127,285
5000267013602	JW RED LABEL 100 CL	1500	1158,66
5000267014203	JW RED LABEL 70CL	1075	828,609
5000267014401	JW RED LABEL 50 CL	825	635,91
5000267014807	JW RED LABEL 35 CL	595	459,599
5000267024233	JW BLACK LABEL 70 CL	1495	1111,12
5000267024400	JW BLACK LABEL 50CL	1150	618,19
5000267024806	JW BLACK LABEL 35CL	825	611,33
5000267102566	CARDHU 12 Y	2250	1328,71
5000267108759	JW KING GEORGE 70 CL	20000	12201,9
5000267112077	JW DOUBLE BLACK 1LT	2400	1768,14
5000267116426	JW DOUBLE BLACK	1795	1303,32
5000267116655	CARDHU 15Y	2700	2055,78
5000267117560	JW GOLD LABEL 70 CL	2450	1675,08
5000267125046	JW BLACK LABEL 100 CL	1995	1449,27
5000267125480	CARDHU GOLD RESERVE	1850	1502,66
5000267134710	JW GREEN LABEL	3050	2465,62
5000267165783	JW 18Y	3250	2352,35
5000267186696	CARDHU 14 2021	7000	2983,59
5000267190372	CARDHU 16Y	8000	4429,12
5000267192864	JW BLUE LABEL ELUSIVE UMAMI	17500	12934,4
5000267195612	JW BLUE LABEL 1/10000	10000	8084
5000267196244	JW BLACK RUBY 100 CL	2195	1611,52
5000267197470	JW BLUE LABEL YEAR OF THE SNAKE	11500	9700,8
5000267197609	JW GOLD LABEL YENI	2450	1865,43
5000267198576	JW BLACK RUBY 70 CL	1650	1214,07
5000277000982	ABERFELDY 12 YO	2625	2228,77
5000277003389	CRAIGELLACHIE 13YO	3750	3183,96
5000281005409	LAGAVULIN 16 Y	6500	4911,5
5000281005416	TALISKER 10Y	2650	1664,74
5000281005904	TANQUERAY GIN 70 CL	1390	1142,1
5000281016283	CAOL ILA 12Y	2700	1859,32
5000281016528	CLYNELISH 14 YIL	3050	1992,8
5000281020761	TANQUERAY TEN GIN	1990	1365,08
5000281021621	SINGLETON 12 YIL	1650	1285,35
5000281021935	GLENKINCHIE 12Y	2550	1751,22
5000281022482	CAPTAIN MORGAN DARK RUM	1800	1053
5000281026626	SINGLETON 15 YIL	2300	1772,84
5000281028620	SINGLETON 18Y	3200	2697,8
5000281037462	DIMPLE GOLDEN VISKI 70 CL	1250	978,873
5000281038094	TALISKER SKYE SINGLE MALT	2600	1350,93
5000281040899	CAPTAIN MORGAN WHITE RUM	1100	940,496
5000281049502	LAGAVULIN DISTILLERS EDITION	4600	3135,72
5000281050546	LAGAVULIN 8Y	2600	1437,87
5000281054674	MORTLACH 12 Y.O	2950	2079,74
5000281067216	TALISKER 8Y	5750	1992,54
5000281067285	SINGLETON 19	7250	3209,72
5000281070773	CAMERON BRIDGE 26 YEARS	13250	8995,96
5000281070810	CLYNELISH 12Y	7500	5113,5
5000281070858	LAGAVULIN AGED 12 YEARS SPECIAL RELEASE 2022 %57,3	7500	3912,56
5000281070957	OBAN 10Y	4500	3018,38
5000281070995	SINGLETON 15 GLEN ORD	5000	3156,05
5000281071053	TALISKER 11Y	5500	2881,65
5000289020305	GORDONS 35 CL	560	401,71
5000289020800	GORDONS 100 CL	1350	1042,66
5000289925440	GORDONS 70 CL	995	768,695
5000289929417	GORDONS PINK 70CL	995	764,639
5000289932479	GORDONS LEMON 70CL	995	686,338
5000289934718	GORDONS 50CL	785	559,133
5000291023462	TANQUERAY FLOR DE SEVILLA CIN	1490	1099,8
5000299210048	PASSPORT 70 CL	875	489,35
